source_system,strategy_id,ticker,timeframe,signal_time,side,entry_type,entry_price_ref,stop_price,target_price,raw_score,normalized_score,confidence,risk_unit,reason_codes,metadata
A,unknown,VRT,1D,2024-11-26,long,next_open,131.5132,120.9921,144.6645,0.969,0.9689999999999999,0.5,,,{'origin': 'combo_pipeline'}
A,unknown,WSO,1D,2024-11-26,long,next_open,532.0865,489.5196,585.2952,0.729,0.729,0.5,,,{'origin': 'combo_pipeline'}
A,unknown,ZM,1D,2024-11-26,long,next_open,83.41,76.7372,91.751,0.728,0.728,0.5,,,{'origin': 'combo_pipeline'}
A,unknown,ACM,1D,2024-11-27,long,next_open,115.2795,106.0572,126.8075,0.723,0.723,0.5,,,{'origin': 'combo_pipeline'}
A,unknown,ACME,1D,2024-11-27,long,next_open,115.2795,106.0572,126.8075,0.723,0.723,0.5,,,{'origin': 'combo_pipeline'}
A,unknown,ACMM,1D,2024-11-27,long,next_open,115.2795,106.0572,126.8075,0.723,0.723,0.5,,,{'origin': 'combo_pipeline'}
A,unknown,ARGX,1D,2024-11-27,long,next_open,614.59,565.4228,676.049,0.644,0.644,0.5,,,{'origin': 'combo_pipeline'}
A,unknown,BEPC,1D,2024-11-27,long,next_open,30.5869,28.14,33.6456,0.605,0.605,0.5,,,{'origin': 'combo_pipeline'}
A,unknown,BEPH,1D,2024-11-27,long,next_open,30.5869,28.14,33.6456,0.605,0.605,0.5,,,{'origin': 'combo_pipeline'}
A,unknown,BEPI,1D,2024-11-27,long,next_open,30.5869,28.14,33.6456,0.605,0.605,0.5,,,{'origin': 'combo_pipeline'}
A,unknown,BTC1,1D,2024-11-27,long,next_open,4.43,4.0756,4.873,0.954,0.954,0.5,,,{'origin': 'combo_pipeline'}
A,unknown,BTCM,1D,2024-11-27,long,next_open,4.43,4.0756,4.873,0.954,0.954,0.5,,,{'origin': 'combo_pipeline'}
A,unknown,CLS,1D,2024-11-27,long,next_open,83.16,76.5072,91.476,0.973,0.9729999999999999,0.5,,,{'origin': 'combo_pipeline'}
A,unknown,CRM,1D,2024-11-27,long,next_open,327.4958,301.2962,360.2454,0.863,0.8630000000000001,0.5,,,{'origin': 'combo_pipeline'}
A,unknown,CRWD,1D,2024-11-27,long,next_open,347.59,319.7828,382.349,0.866,0.8659999999999999,0.5,,,{'origin': 'combo_pipeline'}
A,unknown,DOCU,1D,2024-11-27,long,next_open,80.38,73.9496,88.418,0.904,0.9039999999999999,0.5,,,{'origin': 'combo_pipeline'}
A,unknown,GTLB,1D,2024-11-27,long,next_open,63.8,58.696,70.18,0.662,0.662,0.5,,,{'origin': 'combo_pipeline'}
A,unknown,HLNE,1D,2024-11-27,long,next_open,188.5926,173.5052,207.4519,0.82,0.8199999999999998,0.5,,,{'origin': 'combo_pipeline'}
A,unknown,JBTM,1D,2024-11-27,long,next_open,124.7021,114.726,137.1723,0.906,0.906,0.5,,,{'origin': 'combo_pipeline'}
A,unknown,JD,1D,2024-11-27,long,next_open,36.125,33.235,39.7375,0.895,0.895,0.5,,,{'origin': 'combo_pipeline'}
A,unknown,KKR,1D,2024-11-27,long,next_open,159.1258,146.3957,175.0383,0.877,0.877,0.5,,,{'origin': 'combo_pipeline'}
A,unknown,KRC,1D,2024-11-27,long,next_open,39.1114,35.9825,43.0226,0.719,0.719,0.5,,,{'origin': 'combo_pipeline'}
