number,value,datetime_start,datetime_complete,duration,params_max_consolidation_range,params_max_dist_sma20,params_max_stop_pct,params_max_vix,params_min_consolidation_days,params_min_dollar_volume,params_min_volume,params_require_bullish_spy,params_rvol_danger,params_rvol_warning,params_rvol_warning_size,state
116,0.39173165785767894,2026-01-10 01:17:53.025402,2026-01-10 01:17:53.634447,0 days 00:00:00.609045,20.0,20.0,0.08,50.0,10,10000000.0,100000,False,3.0,2.0,0.6,COMPLETE
117,0.39173165785767894,2026-01-10 01:17:53.636765,2026-01-10 01:17:54.227726,0 days 00:00:00.590961,20.0,15.0,0.08,40.0,10,5000000.0,100000,False,3.0,2.0,0.6,COMPLETE
118,0.31749446174261636,2026-01-10 01:17:54.229581,2026-01-10 01:17:54.826828,0 days 00:00:00.597247,20.0,20.0,0.07,50.0,10,10000000.0,100000,False,3.0,2.5,0.6,COMPLETE
119,0.39173165785767894,2026-01-10 01:17:54.828754,2026-01-10 01:17:55.433378,0 days 00:00:00.604624,15.0,15.0,0.08,50.0,5,10000000.0,100000,False,3.0,2.0,0.6,COMPLETE
120,0.39173165785767894,2026-01-10 01:17:55.435498,2026-01-10 01:17:56.029547,0 days 00:00:00.594049,20.0,20.0,0.08,40.0,10,10000000.0,100000,False,3.0,2.0,0.6,COMPLETE
121,0.39173165785767894,2026-01-10 01:17:56.031635,2026-01-10 01:17:56.613246,0 days 00:00:00.581611,20.0,25.0,0.08,40.0,10,10000000.0,100000,False,3.0,2.0,0.6,COMPLETE
122,0.39173165785767894,2026-01-10 01:17:56.615296,2026-01-10 01:17:57.211174,0 days 00:00:00.595878,20.0,25.0,0.08,40.0,10,10000000.0,100000,False,3.0,2.0,0.6,COMPLETE
123,0.39173165785767894,2026-01-10 01:17:57.213130,2026-01-10 01:17:57.809231,0 days 00:00:00.596101,20.0,25.0,0.08,40.0,10,10000000.0,100000,False,3.0,2.0,0.6,COMPLETE
124,0.39173165785767894,2026-01-10 01:17:57.811378,2026-01-10 01:17:58.391440,0 days 00:00:00.580062,20.0,25.0,0.08,40.0,10,10000000.0,100000,False,3.0,2.0,0.6,COMPLETE
125,0.3893461629148444,2026-01-10 01:17:58.393390,2026-01-10 01:17:58.991998,0 days 00:00:00.598608,20.0,25.0,0.08,40.0,10,10000000.0,100000,False,3.0,2.0,0.7,COMPLETE
126,0.39173165785767894,2026-01-10 01:17:58.994041,2026-01-10 01:17:59.588439,0 days 00:00:00.594398,20.0,15.0,0.08,50.0,10,10000000.0,100000,False,3.0,2.0,0.6,COMPLETE
